58537.85004745611  155.21 (0.7,-0.66)   19.67 (0.44,-0.28)
58559.83187810989  81.25 (5.89,-5.98)   3.21 (4.07,-3.93)
58573.28869725522  337.63 (0.26,-0.26)   -20.82 (0.4,-0.36)
58583.43633810319  310.61 (3.3,-3.65)   12.22 (2.28,-2.84)
58586.44998255463  219.33 (0.7,-1.32)   11.72 (0.72,-0.72)
58586.66460083455  245.57 (1.23,-1.49)   21.98 (1.44,-1.21)
58588.43730676967  154.86 (2.94,-4.7)   5.27 (1.95,-2.48)
58595.24979249506  166.9 (3.21,-3.03)   17.39 (2.56,-2.0)
58606.72440656845  120.19 (0.66,-0.66)   6.43 (0.75,-0.68)
58607.7675740006  65.17 (1.67,-1.14)   -37.26 (1.09,-0.61)
58618.45061140577  127.88 (0.79,-0.83)   12.6 (0.46,-0.5)
58647.82937645641  312.19 (0.66,-0.79)   26.57 (0.71,-0.75)
58653.5515977822  343.52 (4.13,-3.16)   10.28 (2.76,-2.02)
58663.80850834146  29.12 (330.57,-28.86)   84.56 (4.4,-4.66)
58668.78393812659  161.81 (2.15,-3.91)   26.9 (1.91,-1.94)
58676.05228456779  76.64 (5.23,-6.99)   12.75 (2.82,-4.79)
58694.86853369251  226.14 (1.27,-1.98)   10.77 (1.17,-1.03)
58714.73222496411  148.54 (2.29,-3.3)   1.45 (0.75,-0.93)
58748.40469477737  167.3 (2.81,-2.72)   -22.27 (3.31,-3.39)
58748.96105979347  5.71 (1.19,-1.27)   -1.53 (0.78,-0.9)
58757.8397936808  313.99 (6.94,-2.46)   12.79 (1.64,-1.65)
58806.04270119005  229.31 (5.49,-4.97)   3.77 (2.24,-2.47)
58809.94803814533  27.03 (1.98,-2.72)   0.07 (1.57,-1.08)
58821.94874207213  80.16 (2.42,-1.98)   2.87 (0.97,-1.05)
58832.46525037375  286.83 (2.27,-1.92)   58.45 (1.86,-2.08)
58848.45840369244  48.47 (5.98,-7.65)   20.11 (3.73,-4.48)
58857.98726780584  165.45 (3.6,-4.39)   11.8 (1.29,-1.18)
58865.46423253074  116.02 (0.79,-1.19)   29.18 (0.81,-0.86)
58868.78354813303  67.41 (0.4,-0.31)   -14.59 (0.27,-0.23)

