qclass redshift N_pre N_post echo_duration_w1 pre_median_flux_w1 pre_median_e_flux_w1 pre_median_total_flux_w1 pre_rms_flux_w1 post_max_flux_w1 post_mean_flux_w1 post1yr_max_flux_w1 post1yr_mean_flux_w1 post1yr_sum_flux_w1 e_post_max_flux_w1 name chi2 sigma_rise sigma_fade e_sigma_rise e_sigma_fade n_rise n_fade mean_color color_slope e_mean_color e_color_slope ra dec ndetections ndetections_negative ndetections_g ndetections_r median_color offset_rms_r offset_unc_r offset_sig_r offset_med_r offset_weighted_r offset_rms_g offset_unc_g offset_sig_g offset_med_g offset_weighted_g offset_sig offset_rms_ps1 offset_med_ps1 offset_sig_ps1 flare_n_pre flare_n_post flare_peak_mag flare_peak_jd flare_amplitude_mag flare_duration_day flare_postpeak_duration_day flare_prepeak_duration_day fEdd Lbol MBH MBH_ref df_over_rms rms_over_err
Unknown nan 11 3 474.606137780007 -9.526563009668108e-07 5.2584319930540185e-06 0.00017600253044527142 8.908698043276839e-06 0.0003773767327576054 0.0002922039331773155 0.0003773767327576054 0.00034363414276126873 0.0006872682855225375 6.141064961126756e-06 ZTF19aasnaqa 0.5946157286949066 2.2791588881454233e-07 234.47874354836117 6.493741584687061e-06 113.03382373820075 0.0 25.0 0.5561996499074173 0.002930540105602551 0.19874156802434198 0.004047281078150551 343.703083 77.3529595 31.0 0.0 9.0 22.0 0.0 0.4296918956503885 0.2699028715859589 1.3384736691950356 0.31463721961321434 0.3612578868579349 0.6449058663097962 0.3687758642983248 1.7219806845082444 0.4196123925554362 0.6350249152345488 1.3384736691950356 0.5506568335120323 0.5950452620559631 5.950452620559631 4.0 22.0 19.1983 2458607.9922454 -1.178799999999999 164.6875599999912 157.65905460016802 7.028505399823189 -1.0 1.9867578466118632e+45 0.0 "" 38.572880244897334 1.6941738630535754
Unknown nan 10 4 519.7290225699544 3.352025102453741e-06 7.975581327948843e-06 0.00035401016635143825 1.266867257381699e-05 0.0004061896791489023 0.0002540866778219339 0.0004061896791489023 0.00024524133057567777 0.0007357239917270333 9.23049402695356e-06 ZTF19aamrekf 0.10194166565964821 6.512861218345267 54.7972337975958 4.137634033853394 10.869113662227857 3.0 14.0 -0.011060026586465205 0.004584848989766454 0.108563768330385 0.006894779786449528 267.7548263 14.9186276 17.0 0.0 9.0 8.0 0.0 0.08292873383715516 0.19815645797760634 0.7460923098929675 0.14012511545044573 0.14784300945272105 0.24811016583820564 0.22938776780837727 0.7036096494427077 0.1786648481707024 0.16139944689409755 0.7460923098929675 0.18486713074355238 0.0843453572130292 0.8434535721302919 3.0 13.0 19.1622 2458568.93713 -1.0061999999999998 53.97624999983236 44.02227000007406 9.953979999758303 -1.0 2.3824959699321603e+45 0.0 "" 19.358092108444804 1.5884324982584201
AGN 0.27 12 3 473.7205851501785 -2.402659398766413e-06 2.0235379103309663e-05 0.0027186506684026466 4.070975973506589e-05 0.0003814998386847099 0.00029655382399897264 0.0003070942416759911 0.0002540808166561041 0.0005081616333122082 2.2347570157580814e-05 ZTF19aazdsch 0.9794693503084153 56.36443033925807 110.88140911639766 4.783398763586624 9.198631541963826 30.0 40.0 -0.05168655296010129 0.002503838833122926 0.032605513075400334 0.0007972940015994844 358.7379645 0.705564 90.0 1.0 41.0 43.0 0.0 0.16617777359208333 0.15190468590533993 0.6515716540496698 0.10389103517566284 0.09897678745323789 0.2380393302944208 0.16176138476162966 1.3088260652209447 0.1787417219682675 0.21171751672225503 0.6515716540496698 0.21459547693563377 0.1728337465734777 1.7283374657347768 26.0 64.0 18.3711 2458709.9545 -1.643500000000003 577.7015999997966 514.6949000000022 63.006699999794364 0.011796215429107625 1.2271998919827751e+45 8.90322926079 L19 6.241275269361225 2.0118110724403215
TDE? 0.096 12 2 182.06417272007093 -1.7010688770326038e-06 1.0129140093947435e-05 0.00045490117884467064 1.840164081614712e-05 0.0007171908562059956 0.0004500971403226292 0.0007171908562059956 0.0004500971403226292 0.0009001942806452584 1.3735217452634742e-05 ZTF20aabcemq 0.42140764077318577 16.034080161337258 71.54153814945082 2.1219439094290955 11.143852235654087 12.0 31.0 0.40376862251985945 0.0047910713758544275 0.04203360565254742 0.0028698906105153687 43.8321675 -11.4134547 53.0 0.0 18.0 35.0 0.0 0.20582423915801143 0.17750747139205153 1.1947465121261795 0.2184879712925208 0.21207643232199117 0.37319477273705254 0.2173911296358427 0.45504440946982505 0.15866364421866808 0.09892261820912022 1.1947465121261795 0.0 0.0 0.0 19.0 33.0 18.329 2458878.6441 -2.0172999999999988 350.06529999990016 322.089199999813 27.976100000087172 0.793790409405327 2.433918950028464e+44 6.372656912291252 V21 24.45961992300582 1.8167031599397894
Unknown nan 7 3 453.26505659520626 5.5533000534004344e-05 3.0261864656447272e-05 0.00041694134544060417 8.874345665386112e-05 0.0008760248183368601 0.0007324549630318618 0.0008760248183368601 0.0007466110555198283 0.0014932221110396566 9.974213273027043e-06 ZTF19aavihif 0.8078691482346325 14.011853337725805 106.7018452882574 1.1320419330929352 3.9911263113300133 102.0 364.0 0.08836434612939416 -0.0016831469368664414 0.017379121745357426 0.0006176069474439061 278.3309038 34.6842225 495.0 0.0 261.0 206.0 0.0 0.19340413827399167 0.20821261825355353 0.5316004749289736 0.10629468659341955 0.11068592674979412 0.18770810337964994 0.24519215128418734 0.4940232265667875 0.11425336055841498 0.12113061770626611 0.5316004749289736 0.17357494178735083 0.1733257937931149 1.733257937931149 166.0 305.0 19.1589 2458652.7671 -1.6183000000000014 389.94510000012815 365.05910000018775 24.885999999940395 -1.0 1.8121023144134576e+45 0.0 "" 8.413139218048975 2.93251779628703
TDE? 0.101 10 4 220.73632925003767 -2.4810863363934125e-05 1.0759721566970052e-05 0.0007383607713571604 3.841413005259405e-05 0.0002793948898910772 0.00012247106714446715 0.0002793948898910772 0.0002611157721031574 0.0005222315442063148 1.2769932727634287e-05 ZTF19aaohxwd 1.1078065999261013 20.916040343038013 4.889434998083433e-06 2.7161537556292754 7.609441631981316e-05 12.0 1.0 -0.05364686084625803 -0.0009711541713424513 0.12038998830421815 0.01848331790156478 175.3478653 21.9368321 13.0 1.0 9.0 4.0 0.0 0.276760781488739 0.21126772636642943 1.3299857933776702 0.25486906753163485 0.2809830746665522 0.133973406313687 0.21000386534230694 0.5911319771351108 0.13670001607206897 0.12414000012581347 0.5911319771351108 0.17070875250669304 0.06642191216354024 0.6642191216354023 10.0 1.0 19.0109 2458605.7339 -1.0437000000000012 30.97039999999106 1.0097000002861023 29.960699999704957 0.0893986106655056 3.5452856312967894e+44 7.484377108690271 T13 6.797388662600331 3.5701788204740232
TDE? 0.0544 11 3 334.65307827992365 -2.555726873409478e-06 1.1753820420157179e-05 0.0010406451542879114 1.6399203807990893e-05 0.0009305922900084184 0.0004124512452825607 0.0009305922900084184 0.0004124512452825607 0.001237353735847682 1.6103728091434455e-05 ZTF19aaujlpo 0.45639581947258395 36.530139731656284 0.0 11.157899139137848 19053.479856367492 10.0 9.0 -0.288576675356288 -0.002904412527685347 0.11577066994221044 0.008694442423812116 208.1953173 20.4121453 19.0 0.0 16.0 3.0 0.0 0.25302480905482827 0.1950739254720564 0.8070797592460559 0.23064511956696032 0.15744021680517034 0.2383033089518761 0.17001957767000936 2.005959040517574 0.3246695581593335 0.3410523088921351 2.005959040517574 0.14884818851248294 0.04140446063256288 0.4140446063256288 17.0 2.0 19.2951 2458682.6683 -1.1433999999999997 79.92067130003124 10.02669999981299 69.89397130021825 1.5610203020354358 8.884993001069356e+44 6.64130518636227 T13 25.15068719870316 1.3952232739464974
Unknown nan 11 3 405.0753836799413 -9.82965954612638e-06 6.141322576674514e-06 0.0005014070726464105 3.14555250561806e-05 0.000211637206405075 0.00018940273154864173 0.000211637206405075 0.0001830799457392453 0.0003661598914784906 7.060587995742132e-06 ZTF19aalfali 0.5794186610043142 70.57710290782124 280.63794766180195 2.62558847748399 26.21006004559766 245.0 294.0 -0.1195651373242802 0.0004960960407653119 0.015848559552875105 0.0003315825514509763 267.0653332 55.2370275 641.0 0.0 360.0 274.0 0.0 0.22148350242827997 0.20681504394023176 1.1684042135449735 0.2379968277823118 0.24164356876425563 0.2581874943600492 0.24793399444206926 0.7846022638898315 0.19001802970968565 0.19452957333449644 1.1684042135449735 0.22575337051635402 0.07157025447582988 0.7157025447582988 245.0 357.0 19.3052 2458677.8437 -1.5594999999999999 628.6452999999747 491.7536999997683 136.89160000020638 -1.0 1.4472712676126927e+45 0.0 "" 5.820279439375389 5.12194639891617
Unknown 0.442 11 3 415.4470731248148 -1.338269925192932e-05 1.2889435631125736e-05 0.0009402901636944019 5.0000459947984493e-05 0.00021528368274451024 0.00020359318298913108 0.00021528368274451024 0.00020100794904951913 0.00040201589809903826 1.3265012589762155e-05 ZTF18acefilj 35.31672791248243 1.0000000000000007e-09 87.85081589242249 1.873635667526389e-08 5.081201618036088 195.0 69.0 -0.005584962062210938 0.0008134488474872361 0.3928443059204831 0.0014107743501965955 142.4618189 19.4930101 298.0 0.0 40.0 257.0 0.0 0.19094876575846542 0.1761646003032391 0.5766150259985698 0.10904672758570949 0.10157915558387988 0.35605245300494676 0.1772195681415317 2.4533521999697596 0.4180547179463322 0.4347820173777175 0.5766150259985698 0.20764264155231196 0.08058021855011796 0.8058021855011795 193.0 97.0 19.1778 2458750.0162 -1.4247999999999976 798.9931799997576 474.97509999992326 324.0180799998343 -1.0 7.321146926860308e+44 0.0 "" 4.020122000050156 3.87918147690207
Unknown nan 11 3 328.53333730995655 -4.227096934082407e-06 6.989140805397615e-06 0.0008254557174326697 1.4974162781013401e-05 0.0002964870182685641 0.00016116580158333986 0.0002964870182685641 0.00016116580158333986 0.0004834974047500196 6.488584250830733e-06 ZTF19acaakoh 10.58156158558358 48.08326112068523 95.0 0.0 0.0 1.0 89.0 3.0 0.06009917683704876 -999.0 -999.0 268.4173428 55.8575856 124.0 0.0 76.0 47.0 0.0 0.37097967477348476 0.1611189270215493 2.643689409145148 0.46621542832518165 0.42594840097969994 0.344199730025828 0.1977456507739172 0.6796409676433065 0.20752758840002153 0.13439604543924044 2.643689409145148 0.381425773115472 0.21090930517929338 2.1090930517929336 26.0 81.0 19.5323 2458758.7675 -1.2974999999999994 281.1024000002071 243.14580000005662 37.9566000001505 -1.0 9.520003912925558e+44 0.0 "" 10.762925710123254 2.1424897849316564
