run evtid TE_ORIG[TeV] evttype
118178 17334444 116.96750663991101 HED
118309 46569873 102.93575729304382 HED
118342 24578488 30.62076521944155 LED
118435 58198553 610.5877488142903 HED
118475 52691508 146.1779826565156 HED
118539 54350726 64.06757812393917 HED
118576 45696357 39.98943757772608 LED
118631 36844560 90.7367356356226 HED
118660 61529737 39.38279104244989 LED
118738 995844 117.20640636430508 HED
118741 43101116 123.15133829365845 HED
118778 61465314 40.591182608307655 LED
118973 22324184 43.10483736535336 LED
119097 49522606 26.355859306661696 LED
119101 32538906 70.65895051399663 HED
119125 14422170 127.71159939386612 HED
119136 66932419 211.0889721948742 HED
119146 28561103 80.90132096710107 HED
119739 41603205 236.01052379389444 HED
120027 12133428 5.120773353277741 LED
120045 22615214 207.02622767450632 HED
120157 59255331 96.27756694673741 HED
120185 63879322 54.61373825560833 HED
120186 1306178 34.26390195634162 LED
120205 73761892 19.484785232461437 LED
120244 21476686 46.231176427442506 LED
120260 65493286 23.61625205245084 LED
120535 24248640 153.9482515747462 HED
120680 12284754 51.01165607516075 HED
120708 53550535 44.62602253452751 LED
120798 20915945 225.30509349395697 HED
120860 64513030 174.20063157254415 HED
120884 64276946 29.612887851131653 LED
120935 29325450 28.95407363982637 LED
121761 41853263 162.85394588273633 HED
121762 56963417 29.9364296382358 LED
121769 40349510 82.44199394613861 HED
122055 5809789 28.292923026423818 LED
122060 56194427 23.842828074457948 LED
122152 30701331 103.23148091665985 HED
122154 6905361 41.28936571225344 LED
122160 52726834 100.07837362164939 HED
122316 49995489 29.812484178160563 LED
122318 21601607 24.663247022414037 LED
122361 46565711 109.76163059054583 HED
122469 31925079 27.527357213149706 LED
122604 17469985 591.1748806570415 HED
122605 60656774 28.42976528979237 LED
122663 58987459 41.559167144905 LED
122768 38570780 45.41536538634016 LED
122772 38615684 26.764448237393612 LED
122793 12516001 30.421298501434446 LED
122818 16944987 63.345362958715405 HED
122895 69011827 28.420015601942378 LED
123107 8144529 107.44391729781628 HED
123145 34573112 199.8063826963509 HED
123228 40504010 59.89581750424839 HED
123240 49730417 3050.4477117776546 HED
123281 52248792 71.55695823095714 HED
123334 75182550 91.91807947516347 HED
123620 47444787 105.23956080860947 HED
123662 27529428 117.67846475584254 HED
123751 34239163 271.4171245779897 HED
123762 72626160 1309.2199020223027 HED
123867 11659459 139.95321761976007 HED
123986 63557286 34.23567400632719 LED
123986 77999595 917.5064878509304 HED
124136 15174527 145.91556738257543 HED
124221 76481548 28.150660157744337 LED
124296 49827757 27.885563459897607 LED
124340 19400842 42.72686490455205 LED
124463 35466777 21.96323330056789 LED
124547 66087371 101.55508542174876 HED
124569 22040903 19.542445180147244 LED
124643 5182926 43.81734153208224 LED
124693 33063779 23.434059574185852 LED
124829 42577032 40.61324406714601 LED
124852 74171655 130.9044176816089 HED
124861 32863663 4186.564498197915 HED
124994 15096469 94.53585953803267 HED
125001 73159253 62.36172907575859 HED
125011 43302321 34.1517319970691 LED
125046 64570437 36.39911634803801 LED
125071 31397276 343.5927264487054 HED
125205 19617837 40.481942133347495 LED
125338 65606123 52.48165182667272 HED
125349 12316485 74.62233165496578 HED
125422 26630854 54.94277678788717 HED
125544 54236696 61.77840555289573 HED
125558 19184163 21.479319147385212 LED
125693 21174828 45.88616971113462 LED
125709 6405911 29.1255079275341 LED
125757 12938244 37.399808419435644 LED
125796 16042897 41.541647269980736 LED
125800 83097666 53.992654052083196 HED
125929 11025256 40.730200590947675 LED
125934 55750717 30.475311469444364 LED
125940 7449833 31.306994185121166 LED
125968 61389842 69.38190667999396 HED
125973 80686964 80.36800996278704 HED
126082 40384770 4.389154115049376 LED
126148 74589372 35.069719326167785 LED
126308 20883844 20.994181658795874 LED
126370 61611641 270.25563823350615 HED
126405 50771014 23.346843140274107 LED
126423 50123696 28.65741496896738 LED
126456 1581608 76.17020454781651 HED
126456 35956042 37.674138361520065 LED
126514 73786337 23.818567196933003 LED
126515 20091930 55.905996067319144 HED
126620 19175993 115.3197386478774 HED
126717 29833358 30.144443110414088 LED
